0	7230	147
1	4156	173
2	3091	197
3	2534	220
4	2174	241
5	1930	263
6	1751	285
7	1608	306
8	1476	324
9	1368	342
10	1278	360
11	1199	378
12	1128	396
13	1065	414
14	1008	432
15	955	449
16	907	467
17	863	485
18	822	504
19	785	523
20	747	541
21	710	558
22	676	576
23	646	597
24	622	622
25	591	640
26	560	658
27	532	677
28	504	696
29	476	714
30	455	742
31	430	764
32	405	788
33	379	806
34	353	824
35	331	852
36	305	869
37	279	884
38	253	899
39	226	905
40	201	919
41	176	924
42	153	939
43	130	954
44	107	968
45	85	982
46	63	996
47	42	1011
48	21	1030
49	0	1049
